EmployeeName,Department,HireDate,Sex,Birthdate,Weight,Height,Kids
Callen Dunkley,Accounting,2010,M,04/09/1982,78,176,2
Sarah Rayner,Engineering,2018,F,14/04/1981,80,160,1
Jeanette Sloan,Engineering,2012,F,06/05/1997,66,169,0
Kaycee Acosta,HR,2014,F,08/01/1986,67,157,1
Henri Conroy,HR,2014,M,10/10/1988,90,185,1
Emma Peralta,HR,2018,F,12/11/1992,57,164,0
Martin Butt,Data Science,2020,M,10/04/1991,115,195,2
Alex Jensen,Data Science,2018,M,16/07/1995,87,180,0
Kim Howarth,Accounting,2020,M,08/10/1992,95,174,3
Jane Burnett,Data Science,2012,F,11/10/1979,57,165,1
